Magma V2.29-4     Thu May 21 2026 17:42:42 on mordell  [Seed = 2015170733]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_32/X1_32.m"
Loaded 22606 covering divisors.
Searching RR spaces for 22606 divisors...
21922/22606 (96.98%) | elapsed=15922s | ETA=496s | deg8 pole divisors=56 | <=7=false | deg9=false
22035/22606 (97.48%) | elapsed=15996s | ETA=414s | deg8 pole divisors=56 | <=7=false | deg9=false
22148/22606 (97.98%) | elapsed=16073s | ETA=332s | deg8 pole divisors=56 | <=7=false | deg9=false
22261/22606 (98.48%) | elapsed=16153s | ETA=250s | deg8 pole divisors=56 | <=7=false | deg9=false
22374/22606 (98.98%) | elapsed=16224s | ETA=168s | deg8 pole divisors=56 | <=7=false | deg9=false
22487/22606 (99.48%) | elapsed=16291s | ETA=86s | deg8 pole divisors=56 | <=7=false | deg9=false
22600/22606 (99.98%) | elapsed=16352s | ETA=4s | deg8 pole divisors=56 | <=7=false | deg9=false
22606/22606 (100.0%) | elapsed=16355s | ETA=0s | deg8 pole divisors=56 | <=7=false | deg9=false
Finished RR search.
has_func_of_deg_at_most_7 = false
has_func_of_deg9 = false
#deg8_func_pole_divisors = 56
Successfully verified that all divisors in deg8_func_pole_divisors can be obtained (up to equivalence) by reducing a cusp-supported rational divisor.
Successfully verified that for all distinct A, B in deg8_func_pole_divisors, Degree(LCM(A,B)) > 9.
Minimum Degree(LCM(A,B)) value found was 12.

Total time: 16407.439 seconds, Total memory usage: 4037.03MB
