Magma V2.29-4     Fri May 22 2026 02:01:33 on mordell  [Seed = 1563987523]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_N_positive_rank/X1_57.m"
The number of places of X1(57)(F2) of degrees 1..12 is:
[ 18, 9, 0, 0, 0, 2, 36, 18, 4, 216, 126, 381 ]
Searching RR spaces for 308 divisors... (this might take a moment)
Starting parallel computation with 308 tasks across 32 workers...
123/308 (39.93%) | elapsed=71476s | ETA=107505s | core-time/task=18595s
124/308 (40.26%) | elapsed=71755s | ETA=106476s | core-time/task=18517s
125/308 (40.59%) | elapsed=71829s | ETA=105158s | core-time/task=18388s
126/308 (40.91%) | elapsed=72137s | ETA=104198s | core-time/task=18320s
127/308 (41.23%) | elapsed=72651s | ETA=103542s | core-time/task=18305s
128/308 (41.56%) | elapsed=75566s | ETA=106265s | core-time/task=18891s
129/308 (41.88%) | elapsed=75852s | ETA=105252s | core-time/task=18816s
130/308 (42.21%) | elapsed=77282s | ETA=105818s | core-time/task=19023s
131/308 (42.53%) | elapsed=78134s | ETA=105571s | core-time/task=19086s
132/308 (42.86%) | elapsed=79716s | ETA=106289s | core-time/task=19325s
133/308 (43.18%) | elapsed=79978s | ETA=105235s | core-time/task=19243s
134/308 (43.51%) | elapsed=80182s | ETA=104117s | core-time/task=19147s
135/308 (43.83%) | elapsed=80520s | ETA=103186s | core-time/task=19086s
136/308 (44.16%) | elapsed=81212s | ETA=102709s | core-time/task=19108s
137/308 (44.48%) | elapsed=81419s | ETA=101625s | core-time/task=19017s
138/308 (44.80%) | elapsed=81665s | ETA=100602s | core-time/task=18936s
139/308 (45.13%) | elapsed=81905s | ETA=99582s | core-time/task=18855s
140/308 (45.45%) | elapsed=81928s | ETA=98314s | core-time/task=18726s
141/308 (45.78%) | elapsed=81936s | ETA=97045s | core-time/task=18595s
142/308 (46.11%) | elapsed=81951s | ETA=95802s | core-time/task=18467s
143/308 (46.43%) | elapsed=81977s | ETA=94588s | core-time/task=18344s
144/308 (46.75%) | elapsed=82084s | ETA=93485s | core-time/task=18240s
145/308 (47.08%) | elapsed=83196s | ETA=93524s | core-time/task=18360s
146/308 (47.40%) | elapsed=83250s | ETA=92373s | core-time/task=18246s
147/308 (47.73%) | elapsed=83396s | ETA=91338s | core-time/task=18154s
148/308 (48.05%) | elapsed=83417s | ETA=90181s | core-time/task=18036s
149/308 (48.38%) | elapsed=84022s | ETA=89661s | core-time/task=18045s
150/308 (48.70%) | elapsed=84106s | ETA=88591s | core-time/task=17942s
151/308 (49.03%) | elapsed=84289s | ETA=87638s | core-time/task=17862s
152/308 (49.35%) | elapsed=84458s | ETA=86681s | core-time/task=17780s
153/308 (49.68%) | elapsed=84743s | ETA=85851s | core-time/task=17724s
154/308 (50.00%) | elapsed=84919s | ETA=84919s | core-time/task=17645s
155/308 (50.32%) | elapsed=84982s | ETA=83886s | core-time/task=17544s
156/308 (50.65%) | elapsed=85019s | ETA=82839s | core-time/task=17439s
157/308 (50.97%) | elapsed=85585s | ETA=82314s | core-time/task=17444s
158/308 (51.30%) | elapsed=85893s | ETA=81544s | core-time/task=17396s
159/308 (51.62%) | elapsed=87054s | ETA=81579s | core-time/task=17520s
160/308 (51.95%) | elapsed=87444s | ETA=80886s | core-time/task=17488s
161/308 (52.27%) | elapsed=88914s | ETA=81182s | core-time/task=17672s
162/308 (52.60%) | elapsed=89146s | ETA=80341s | core-time/task=17609s
163/308 (52.92%) | elapsed=89704s | ETA=79798s | core-time/task=17610s
164/308 (53.25%) | elapsed=90554s | ETA=79510s | core-time/task=17669s
165/308 (53.57%) | elapsed=91200s | ETA=79040s | core-time/task=17687s
166/308 (53.89%) | elapsed=91393s | ETA=78179s | core-time/task=17617s
167/308 (54.22%) | elapsed=91487s | ETA=77244s | core-time/task=17530s
168/308 (54.55%) | elapsed=91780s | ETA=76483s | core-time/task=17481s
169/308 (54.87%) | elapsed=92027s | ETA=75690s | core-time/task=17425s
170/308 (55.20%) | elapsed=92655s | ETA=75214s | core-time/task=17441s
171/308 (55.52%) | elapsed=92703s | ETA=74271s | core-time/task=17348s
172/308 (55.84%) | elapsed=93599s | ETA=74008s | core-time/task=17413s
173/308 (56.17%) | elapsed=99609s | ETA=77729s | core-time/task=18424s
174/308 (56.49%) | elapsed=100233s | ETA=77190s | core-time/task=18433s
175/308 (56.82%) | elapsed=100397s | ETA=76302s | core-time/task=18358s
176/308 (57.14%) | elapsed=100424s | ETA=75318s | core-time/task=18258s
177/308 (57.47%) | elapsed=100658s | ETA=74498s | core-time/task=18198s
178/308 (57.79%) | elapsed=100731s | ETA=73568s | core-time/task=18109s
179/308 (58.12%) | elapsed=101026s | ETA=72806s | core-time/task=18060s
180/308 (58.44%) | elapsed=101196s | ETA=71962s | core-time/task=17990s
181/308 (58.77%) | elapsed=101640s | ETA=71317s | core-time/task=17969s
182/308 (59.09%) | elapsed=101861s | ETA=70519s | core-time/task=17909s
183/308 (59.41%) | elapsed=101911s | ETA=69611s | core-time/task=17820s
184/308 (59.74%) | elapsed=102393s | ETA=69004s | core-time/task=17807s
185/308 (60.07%) | elapsed=102576s | ETA=68199s | core-time/task=17742s
186/308 (60.39%) | elapsed=102972s | ETA=67541s | core-time/task=17715s
187/308 (60.71%) | elapsed=103689s | ETA=67092s | core-time/task=17743s
188/308 (61.04%) | elapsed=104142s | ETA=66474s | core-time/task=17726s
189/308 (61.36%) | elapsed=104616s | ETA=65869s | core-time/task=17712s
190/308 (61.69%) | elapsed=104725s | ETA=65040s | core-time/task=17638s
191/308 (62.01%) | elapsed=106194s | ETA=65050s | core-time/task=17791s
192/308 (62.34%) | elapsed=106409s | ETA=64289s | core-time/task=17734s
193/308 (62.66%) | elapsed=106554s | ETA=63491s | core-time/task=17667s
194/308 (62.99%) | elapsed=106705s | ETA=62703s | core-time/task=17600s
195/308 (63.31%) | elapsed=106927s | ETA=61963s | core-time/task=17547s
196/308 (63.64%) | elapsed=107058s | ETA=61176s | core-time/task=17478s
197/308 (63.96%) | elapsed=108045s | ETA=60878s | core-time/task=17550s
198/308 (64.29%) | elapsed=108045s | ETA=60025s | core-time/task=17461s
199/308 (64.61%) | elapsed=108260s | ETA=59298s | core-time/task=17408s
200/308 (64.94%) | elapsed=108461s | ETA=58569s | core-time/task=17353s
201/308 (65.26%) | elapsed=108675s | ETA=57851s | core-time/task=17301s
202/308 (65.59%) | elapsed=109365s | ETA=57389s | core-time/task=17325s
203/308 (65.91%) | elapsed=109716s | ETA=56749s | core-time/task=17295s
204/308 (66.23%) | elapsed=112640s | ETA=57424s | core-time/task=17669s
205/308 (66.55%) | elapsed=116493s | ETA=58530s | core-time/task=18184s
206/308 (66.88%) | elapsed=116666s | ETA=57766s | core-time/task=18122s
207/308 (67.21%) | elapsed=117243s | ETA=57205s | core-time/task=18124s
208/308 (67.53%) | elapsed=117513s | ETA=56496s | core-time/task=18079s
209/308 (67.86%) | elapsed=117911s | ETA=55852s | core-time/task=18053s
210/308 (68.18%) | elapsed=117952s | ETA=55044s | core-time/task=17973s
211/308 (68.51%) | elapsed=117961s | ETA=54228s | core-time/task=17889s
212/308 (68.83%) | elapsed=118222s | ETA=53534s | core-time/task=17844s
213/308 (69.16%) | elapsed=118788s | ETA=52980s | core-time/task=17846s
214/308 (69.48%) | elapsed=118846s | ETA=52203s | core-time/task=17771s
215/308 (69.80%) | elapsed=119499s | ETA=51690s | core-time/task=17786s
216/308 (70.13%) | elapsed=119588s | ETA=50935s | core-time/task=17716s
217/308 (70.45%) | elapsed=119705s | ETA=50199s | core-time/task=17652s
218/308 (70.78%) | elapsed=120846s | ETA=49890s | core-time/task=17738s
219/308 (71.10%) | elapsed=122050s | ETA=49600s | core-time/task=17833s
220/308 (71.43%) | elapsed=122633s | ETA=49053s | core-time/task=17837s
221/308 (71.75%) | elapsed=123330s | ETA=48551s | core-time/task=17857s
222/308 (72.08%) | elapsed=123790s | ETA=47954s | core-time/task=17843s
223/308 (72.41%) | elapsed=123823s | ETA=47197s | core-time/task=17768s
224/308 (72.73%) | elapsed=123940s | ETA=46477s | core-time/task=17705s
225/308 (73.05%) | elapsed=123997s | ETA=45741s | core-time/task=17635s
226/308 (73.38%) | elapsed=124214s | ETA=45069s | core-time/task=17587s
227/308 (73.70%) | elapsed=124262s | ETA=44340s | core-time/task=17517s
228/308 (74.02%) | elapsed=124384s | ETA=43643s | core-time/task=17457s
229/308 (74.35%) | elapsed=124527s | ETA=42959s | core-time/task=17401s
230/308 (74.67%) | elapsed=125162s | ETA=42446s | core-time/task=17413s
231/308 (75.00%) | elapsed=125549s | ETA=41849s | core-time/task=17392s
232/308 (75.33%) | elapsed=126350s | ETA=41390s | core-time/task=17427s
233/308 (75.65%) | elapsed=126751s | ETA=40799s | core-time/task=17407s
234/308 (75.98%) | elapsed=127599s | ETA=40352s | core-time/task=17449s
235/308 (76.30%) | elapsed=128542s | ETA=39930s | core-time/task=17503s
236/308 (76.62%) | elapsed=128634s | ETA=39244s | core-time/task=17441s
237/308 (76.95%) | elapsed=132747s | ETA=39768s | core-time/task=17923s
238/308 (77.27%) | elapsed=132862s | ETA=39077s | core-time/task=17863s
239/308 (77.59%) | elapsed=133106s | ETA=38428s | core-time/task=17821s
240/308 (77.92%) | elapsed=134010s | ETA=37969s | core-time/task=17868s
